3.138.111.203 - - [19/May/2023:10:08:33 -0400] "GET /.well-known/acme-challenge/KF72B58eF_rmJlr-ANpis7vctHKtKuYahVLat0VI454 HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
23.178.112.103 - - [19/May/2023:10:08:33 -0400] "GET /.well-known/acme-challenge/KF72B58eF_rmJlr-ANpis7vctHKtKuYahVLat0VI454 HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
18.236.251.121 - - [19/May/2023:10:08:33 -0400] "GET /.well-known/acme-challenge/KF72B58eF_rmJlr-ANpis7vctHKtKuYahVLat0VI454 HTTP/1.1" 200 87 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)"
209.99.135.13 - - [19/May/2023:10:09:55 -0400] "GET / HTTP/1.1" 200 62252 "-" "Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.65 Safari/535.11"
15.204.173.67 - - [19/May/2023:10:10:06 -0400] "GET / HTTP/1.1" 200 53859 "-" "python-requests/2.25.1"
185.209.196.172 - - [19/May/2023:10:11:43 -0400] "GET / HTTP/1.1" 200 53859 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
185.209.196.172 - - [19/May/2023:10:11:45 -0400] "GET /wordpress HTTP/1.1" 404 196 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
185.209.196.172 - - [19/May/2023:10:11:45 -0400] "GET /installer.php HTTP/1.1" 404 16 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
185.209.196.172 - - [19/May/2023:10:11:45 -0400] "GET /wp HTTP/1.1" 404 196 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/113.0.5672.69 Mobile/15E148 Safari/604.1"
185.209.196.172 - - [19/May/2023:10:11:45 -0400] "GET /.git/HEAD HTTP/1.1" 200 23 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
185.209.196.172 - - [19/May/2023:10:11:45 -0400] "GET /.env.dev HTTP/1.1" 404 196 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"
185.209.196.172 - - [19/May/2023:10:11:45 -0400] "GET /blog HTTP/1.1" 404 196 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
185.209.196.172 - - [19/May/2023:10:11:45 -0400] "GET /.env.prod HTTP/1.1" 404 196 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
185.209.196.172 - - [19/May/2023:10:11:45 -0400] "GET /.env.php HTTP/1.1" 404 16 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
185.209.196.172 - - [19/May/2023:10:11:45 -0400] "GET /.env.production HTTP/1.1" 404 196 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
